split,year,observed_yield_kg_ha,raw_yield_kg_ha,corrected_yield_kg_ha,raw_abs_error,corrected_abs_error,corrected_error_kg_ha,corrected_abs_percent_error
test,2022,3923.0,3075.4,3902.1062605421675,847.6,20.893739457831998,-20.893739457832453,0.5325959586498088
test,2023,4154.0,5590.2,3910.490661603206,1436.2,243.50933839679402,-243.5093383967942,5.8620447375251326
test,2024,3827.0,5130.4,3898.068994605999,1303.4,71.0689946059988,71.0689946059988,1.8570419285601985
train,2006,3000.0,5231.2,3362.359522695544,2231.2,362.35952269554383,362.359522695544,12.078650756518128
train,2007,3300.0,2577.4,3402.8267047969093,801.0,102.82670479690941,102.82670479690933,3.1159607514214973
train,2008,3126.0,5180.0,3411.3110324171466,2054.0,285.3110324171468,285.31103241714663,9.127032386984864
train,2009,2578.0,4595.0,3443.4172860527747,2017.0,865.4172860527746,865.4172860527747,33.56932839615107
train,2010,3245.0,5243.8,3496.547443739174,1998.8,251.54744373917418,251.547443739174,7.751847264689498
train,2011,3496.0,5796.0,3463.390044507703,2300.0,32.60995549229701,-32.609955492297104,0.9327790472625004
train,2012,3546.0,3740.0,3562.527196347806,208.0,16.527196347805965,16.527196347805784,0.46607998724777117
train,2013,3690.0,4442.0,3538.4217471821307,752.0,151.57825281786936,-151.57825281786927,4.107811729481554
train,2014,3542.0,4981.0,3570.451765347537,1439.0,28.45176534753664,28.45176534753682,0.8032683610258792
train,2015,3727.0,4860.8,3632.3805131214444,1133.8,94.61948687855575,-94.61948687855556,2.5387573619145627
train,2016,3381.0,5201.4,3664.3098119940164,1820.4,283.3098119940163,283.3098119940164,8.379467967879807
train,2017,4000.0,4848.8,3719.809246772322,848.8,280.1907532276781,-280.1907532276782,7.004768830691953
valid,2018,3750.0,5188.2,3752.4680740199924,1438.2,5.485823973489187,2.4680740199924003,0.14628863929304498
valid,2019,3700.0,5146.6,3752.8903301446,1446.6,52.89033014460038,52.89033014459983,1.4294683822864966
valid,2020,4050.0,4948.0,3831.882514140637,898.0,218.11748585936283,-218.11748585936311,5.385616934799082
valid,2021,3700.0,4860.4,3862.759081694769,1160.4,162.75908169476898,162.75908169476907,4.398894099858621
