split,year,policy,yield_kg_ha,irrigation_mm,reward
test,2022,rainfed_calendar_oct15,3901.561398023135,0.0,0.9289431900055084
test,2022,fixed_calendar_oct15_moderate_irrig,3901.561398023135,0.0,0.9289431900055084
test,2022,early_sep25_moderate_irrig,3904.564620575443,0.0,0.9296582429941532
test,2022,late_nov10_moderate_irrig,3900.0683500259033,0.0,0.92858770238712
test,2023,rainfed_calendar_oct15,3932.6130691300814,0.0,0.9363364450309718
test,2023,fixed_calendar_oct15_moderate_irrig,3907.5939853685554,72.0,0.8223795203258465
test,2023,early_sep25_moderate_irrig,3934.020505622191,36.0,0.8826715489576644
test,2023,late_nov10_moderate_irrig,3898.565209567624,108.0,0.7662298118018153
test,2024,rainfed_calendar_oct15,3935.982709653766,0.0,0.9371387403937538
test,2024,fixed_calendar_oct15_moderate_irrig,3884.7379743217866,72.0,0.8169376129337588
test,2024,early_sep25_moderate_irrig,3923.659128804088,18.0,0.907204554477164
test,2024,late_nov10_moderate_irrig,3892.819492295927,90.0,0.7918617838799826
test,2025,rainfed_calendar_oct15,4012.873406747039,0.0,0.9554460492254854
test,2025,fixed_calendar_oct15_moderate_irrig,4012.873406747039,0.0,0.9554460492254854
test,2025,early_sep25_moderate_irrig,4017.276935330014,0.0,0.956494508411908
test,2025,late_nov10_moderate_irrig,4015.6710816051504,0.0,0.9561121622869406
valid,2018,rainfed_calendar_oct15,3761.0307360990455,0.0,0.8954835085950108
valid,2018,fixed_calendar_oct15_moderate_irrig,3747.91104147763,36.0,0.8383597717803881
valid,2018,early_sep25_moderate_irrig,3750.684530962568,36.0,0.8390201264196591
valid,2018,late_nov10_moderate_irrig,3764.779896002884,18.0,0.8693761657149722
valid,2019,rainfed_calendar_oct15,3770.872148488374,0.0,0.8978267020210414
valid,2019,fixed_calendar_oct15_moderate_irrig,3748.709098832031,72.0,0.7845497854361979
valid,2019,early_sep25_moderate_irrig,3756.82784876383,54.0,0.8134828211342453
valid,2019,late_nov10_moderate_irrig,3748.02647283765,72.0,0.7843872554375357
valid,2020,rainfed_calendar_oct15,3829.4274048148186,0.0,0.911768429717814
valid,2020,fixed_calendar_oct15_moderate_irrig,3829.4274048148186,0.0,0.911768429717814
valid,2020,early_sep25_moderate_irrig,3828.919014963576,0.0,0.911647384515137
valid,2020,late_nov10_moderate_irrig,3828.8976000168464,0.0,0.9116422857182968
valid,2021,rainfed_calendar_oct15,3861.896436753094,0.0,0.9194991516078797
valid,2021,fixed_calendar_oct15_moderate_irrig,3861.896436753094,0.0,0.9194991516078797
valid,2021,early_sep25_moderate_irrig,3863.649115078605,0.0,0.9199164559710964
valid,2021,late_nov10_moderate_irrig,3863.9730553545114,0.0,0.9199935846082168
test,2022,ppo_policy,3904.6158435756097,0.0,0.9296704389465738
test,2023,ppo_policy,3943.605506995247,0.0,0.9389536921417254
test,2024,ppo_policy,3936.53073167885,2.0,0.9342692218282976
test,2025,ppo_policy,4017.285426332509,0.0,0.9564965300791688
valid,2018,ppo_policy,3763.589209798625,0.0,0.8960926689996725
valid,2019,ppo_policy,3773.909149957357,0.0,0.8985497976088944
valid,2020,ppo_policy,3830.705922110553,0.0,0.9120728385977508
valid,2021,ppo_policy,3864.077627184957,0.0,0.9200184826630852
